Descripcion,registros,cantidad
EXAMEN DE SALUD ORAL,8844,8845
CONSULTA DE MORBILIDAD ODONTÓLOGICA,6383,6383
EDUCACION INDIVIDUAL CON INSTRUCCION DE TECNICA DE CEPILLADO,3931,3931
CONTROL ODONTOLÓGICO,2207,2207
RESTAURACION ESTETICA,2207,3483
DESTARTRAJE SUPRAGINGIVAL Y PULIDO CORONARIO,2028,2028
EXODONCIA,1415,1513
APLICACION DE SELLANTES,1113,3856
PROCEDIMIENTO MEDICO-QUIRURGICO,901,908
OBTURACION DE VIDRIO IONÓMERO,872,956
RESULTADO DE APLICACIÓN PAUTA DE EVALUACIÓN CON ENFOQUE DE RIESGO ODONTOLÓGICO CERO (ALTO RIESGO),833,833
FLUORURACION TOPICA BARNIZ,793,793
RESULTADO DE APLICACIÓN PAUTA DE EVALUACIÓN CON ENFOQUE DE RIESGO ODONTOLÓGICO CERO (BAJO RIESGO),708,708
CONSULTA DE URGENCIA (GES),498,498
INGRESO A CONTROL CON ENFOQUE RIESGO ODONTOLÓGICO (CERO) ÍNDICE CEOD O COPD (0),460,460
"ESTRATEGIA MORBILIDAD ADULTO (N° DE CONSULTAS DE MORBILIDAD REALIZADAS EN >20 AÑOS, EN EXTENSIÓN HORARIA)",434,460
CONSULTA DE URGENCIA NO GES (CONSULTA),371,371
INGRESOS A TRATAMIENTO ODONTOLIGIA GENERAL,370,370
CONTROL CON ENFOQUE RIESGO ODONTOLÓGICO (CERO) ÍNDICE CEOD O COPD (0),366,366
PROCEDIMIENTO PULPAR,349,361
"ESTRATEGIA MORBILIDAD ADULTO (N° TOTAL DE ACTIVIDAD RECUPERATIVA REALIZADA EN >20 AÑOS, EN EXTENSIÓN HORARIA)",332,721
CONSEJERÍA BREVE EN TABACO,318,318
ACCESO CAVITARIO,217,217
ESTRATEGIA ESTUDIANTES DE ENSEÑANZA MEDIA/ ALTAS INTEGRALES ESTUDIANTES DE ENSEÑANZA MEDIA (ALTA INTEGRAL EN CENTRO DE SALUD),201,201
INGRESO A CONTROL CON ENFOQUE RIESGO ODONTOLÓGICO (CERO) ÍNDICE CEOD O COPD (1 A 2),166,166
CONTROL CON ENFOQUE RIESGO ODONTOLÓGICO (CERO) ÍNDICE CEOD O COPD ( 1 A 2),125,125
INGRESO A CONTROL CON ENFOQUE RIESGO ODONTOLÓGICO (CERO),98,98
CONTROL CON ENFOQUE RIESGO ODONTOLÓGICO (CERO) ÍNDICE CEOD O COPD (3 A 4),92,92
CIRUGIA Y TRAUMATOLOGIA MAXILO FACIAL (INTERCONSULTA),92,93
REHABILITACION: PROTESIS REMOVIBLE (INTERCONSULTA),86,86
INGRESO A CONTROL CON ENFOQUE RIESGO ODONTÓLOGICO (CERO) ÍNDICE CEOD O COPD (3 A 4),86,88
SEGUIMIENTO DE SALUD POR LLAMADA TELEFÓNICA,84,84
ORTODONCIA Y ORTOPEDIA DENTOMAXILOFACIAL,75,75
ENDODONCIA (INTERCONSULTA),69,70
INGRESO A TRATAMIENTO ODONTOLOGICO GENERAL INDICE CEOD O COPD (1 A 2),63,63
ESTRATEGIA ATENCIÓN ODONTOLÓGICA EN DOMICILIO/ ALTAS ODONTOLÓGICAS (ALTAS PERSONAS CON DEPENDENCIA SEVERA),54,54
DESTARTRAJE SUBGINGIVAL Y PULIDO RADICULAR POR SEXTANTE,45,50
CONSULTA DE URGENCIA GES (CONSULTA),40,40
INGRESO A TRATAMIENTO ODONTOLOGICO GENERAL INDICE CEOD O COPD (3 A 4),40,40
CONTROL CON ENFOQUE RIESGO ODONTOLÓGICO (CERO) ÍNDICE CEOD O COPD ( 5 A 6 ),39,39
VISITA INTEGRAL A GRUPO COMUNITARIO,36,36
INGRESO A CONTROL CON ENFOQUE RIESGO ODONTOLÓGICO (CERO) ÍNDICE CEOD O COPD ( 5 A 6),33,33
ESTRATEGIA RESOLUCIÓN DE ESPECIALIDAD EN APS/ PRÓTESIS REMOVIBLES (N° PACIENTES),31,31
ESTRATEGIA RESOLUCIÓN DE ESPECIALIDAD EN APS/ PRÓTESIS REMOVIBLES (N° PRÓTESIS REALIZADAS POR ODONTÓLOGO GENERAL),31,56
ESTRATEGIA ATENCIÓN ODONTOLÓGICA EN DOMICILIO/ ALTAS ODONTOLÓGICAS (ALTAS CUIDADORES PERSONAS CON DEPENDENCIA),30,30
INGRESO A CONTROL CON ENFOQUE RIESGO ODONTOLÓGICO (CERO) ÍNDICE CEOD O COPD ( 7 A 8),22,22
INGRESO A TRATAMIENTO ODONTOLOGICO GENERAL INDICE CEOD O COPD (0),21,21
ODONTOPEDIATRIA (INTERCONSULTA),20,20
CONTROL DE ESPECIALIDAD POST ALTA (REHABILITACIÓN: PRÓTESIS REMOVIBLE),19,19
RESTAURACION DE AMALGAMAS,19,19
"PROGRAMA GES ODONTOLÓGICO ADULTO DE 60 AÑOS, PRÓTESIS REMOVIBLE (N° PACIENTES)",18,18
TRASTORNOS TEMPOROMANDIBULARES Y DOLOR OROFACIAL,18,18
CONTROL CON ENFOQUE RIESGO ODONTOLÓGICO (CERO) ÍNDICE CEOD O COPD ( 7 A 8),18,18
"PROGRAMA GES ODONTOLÓGICO ADULTO DE 60 AÑOS, PRÓTESIS REMOVIBLE (N° PRÓTESIS)",17,28
INGRESOS A TRATAMIENTO (REHABILITACIÓN: PRÓTESIS REMOVIBLE),16,16
IMPLANTOLOGIA BUCO MAXILOFACIAL (INTERCONSULTA),16,16
PERIODONCIA (INTERCONSULTA),15,15
INGRESO A TRATAMIENTO ODONTOLOGICO GENERAL INDICE CEOD O COPD (5 A 6),14,14
ALTAS DE TRATAMIENTO (REHABILITACIÓN: PRÓTESIS REMOVIBLE),11,11
