IDKEY_PROFESIONAL,encuentros,citas,inasistencias,dias_activos,pct_hora_defecto
OD-000017,1439,1786,347,149,99.54648526077098
OD-000002,1344,1639,295,154,9.15684496826836
OD-000009,1270,1543,273,137,94.750656167979
OD-000010,1178,1550,372,124,9.344894026974952
OD-000004,982,1309,327,137,87.47412008281573
OD-000016,857,1190,333,115,10.745891276864729
OD-000019,483,627,144,70,7.916666666666666
OD-000003,481,522,41,51,99.32735426008968
OD-000015,330,330,0,33,1.2121212121212122
OD-000007,313,322,9,34,97.12460063897763
OD-000006,312,313,1,32,1.6025641025641024
OD-000001,305,305,0,32,8.852459016393443
OD-000013,213,213,0,20,99.06103286384976
OD-000021,163,205,42,34,13.793103448275861
OD-000005,147,177,30,25,98.4375
OD-000022,147,147,0,16,8.16326530612245
OD-000012,111,160,49,27,7.207207207207207
OD-000008,71,83,12,13,10.416666666666668
OD-000011,21,30,9,3,14.285714285714285
OD-000014,12,15,3,3,75.0
OD-000018,11,16,5,3,18.181818181818183
OD-000023,8,9,1,1,12.5
OD-000020,5,5,0,1,20.0
