centro,grupo_etario,inscritos,atendidos,por_100
Tierras Blancas,0-4,1234,665,53.88978930307942
Tierras Blancas,5-9,2405,679,28.232848232848234
Tierras Blancas,10-14,3264,628,19.240196078431374
Tierras Blancas,15-19,3187,420,13.178537809852525
Tierras Blancas,20-39,13350,1006,7.535580524344569
Tierras Blancas,40-59,11410,801,7.020157756354076
Tierras Blancas,60+,8384,1013,12.082538167938932
Lila Cortés,0-4,1494,11,0.7362784471218206
Lila Cortés,5-9,1711,63,3.6820572764465225
Lila Cortés,10-14,1797,14,0.7790762381747357
Lila Cortés,15-19,1561,31,1.9859064702114029
Lila Cortés,20-39,6740,142,2.106824925816024
Lila Cortés,40-59,4545,109,2.398239823982398
Lila Cortés,60+,2691,43,1.5979189892233372
